Unnamed: 0,business_id,Shortlisted?,ProjectCategory,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,label,PARKING,BikeParking,HairSpecializesIn_coloring,CONSUMER_SERVICE,NoiseLevel,Alcohol,Ambience_romantic,HappyHour,RECOMMENDATION,DogsAllowed,SPECIAL_FOOD,AgesAllowed,Unnamed: 0.1,weekday,weekend,averghour,if_Chain,polarity
0,rDMptJYWtnMhpQu_rRXHng,Yes,Burger,"""McDonald's""",,"""719 E Thunderbird Rd""",Phoenix,AZ,85022,33.6070702,-112.0643825,1.0,10,1,Fast Food;Burgers;Restaurants,-1,1,0,0,0,0,0,0,0,0,1,0.0,0,3253,0.0,0.0,0.0,1,0.15241484457651694
1,1WBkAuQg81kokZIPMpn9Zg,Yes,Burger,"""Charr An American Burger Bar""",,"""777 E Thunderbird Rd, Ste 107""",Phoenix,AZ,85022,33.60731,-112.063404,3.0,232,1,Burgers;Restaurants,-1,1,0,0,0,0,0,0,0,0,0,0.0,0,3229,56.0,22.0,11.14285714,1,0.2334370137054273
2,iPa__LOhse-hobC2Xmp-Kw,Yes,Burger,"""McDonald's""",,"""1635 E Camelback Rd""",Phoenix,AZ,85016,33.5087649,-112.04624,3.0,34,1,Restaurants;Burgers;Fast Food,-1,1,0,0,0,0,0,0,0,0,1,0.0,0,2461,90.0,36.0,18.0,1,0.10478523671500847
3,QkG3KUXwqZBW18A9k1xqCA,Yes,Other,"""Red Lobster""",,"""2810 North 75th Ave""",Phoenix,AZ,85035,33.4787353,-112.2213794,2.5,37,1,American (Traditional);Restaurants;Seafood,0,0,1,0,0,0,0,0,0,0,0,0.0,0,3022,56.0,23.0,11.28571429,0,0.1989110971576916
4,5XejqzaFmtkZMstJS5Iy-w,Yes,Sandwiches,"""D'Lish Cafe""",,"""503 W Thomas Rd""",Phoenix,AZ,85013,33.480301399999995,-112.0805864,4.0,37,0,Vegan;American (New);Restaurants;Sandwiches;Salad;Wraps;Food,0,0,0,0,1,0,0,0,0,0,0,0.0,0,623,25.0,10.0,5.0,0,0.20174709465801996
5,2v-8QQfMLX2PCz-0S6gISQ,Yes,Pizza,"""Papa John's Pizza""",,"""3441 W Northern Ave""",Phoenix,AZ,85051,33.5528695,-112.1337118,2.5,7,1,Pizza;Restaurants;Fast Food,0,0,0,0,1,0,0,0,0,0,0,0.0,0,3924,69.5,29.0,14.07142857,0,0.21700949491090465
6,M3uV9Y3EDSpy9d4YwyNSAQ,Yes,Bar,"""Yakiramen""",,"""10605 N 43rd Ave""",Phoenix,AZ,85029,33.5823628,-112.1498845,4.0,66,1,Nightlife;Japanese;Music Venues;Ramen;Arts & Entertainment;Restaurants;Bars,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,3139,29.0,15.0,6.285714286,1,0.1671532799925944
7,U1ZVgF-kfkvv_rcoe0RglQ,Yes,Chinese,"""Pho Noodles""",,"""3417 N 7th Ave""",Phoenix,AZ,85013,33.4887595,-112.0824018,4.5,172,1,Restaurants;Noodles;Vietnamese,0,1,0,0,1,0,0,0,0,0,0,0.0,0,605,57.5,22.5,11.42857143,0,0.3044180626003737
8,FfI9FOaQqzUxixw6_glt3Q,Yes,Italian,"""Affinito's Bistro""",,"""3655 W Anthem Way, Ste C-137""",Phoenix,AZ,85086,33.8649643,-112.1388202,3.0,6,0,Restaurants;Italian,0,1,1,0,0,0,0,0,0,0,0,0.0,0,3742,26.0,21.0,6.714285714,0,0.20741093270810226
9,3b4efqz06QrLQ_w2xLc4pA,Yes,Italian,"""Olive Garden Italian Restaurant""",,"""10223 N Metro Parkway E""",Phoenix,AZ,85051,33.5803023,-112.1196529,3.0,40,0,Restaurants;Italian,0,1,1,0,0,0,0,0,0,0,0,0.0,0,3938,0.0,0.0,0.0,0,0.21004459442114012
