,Zip,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29
0,85013,Shopping,Health & Medical,Bar,Mexican,Other,Home Services,Burger,Automotive,Auto Repair,Breakfast,Antiques,Barbers,Diner,Art Galleries,Accessories,,,,,,,,,,,,,,
1,85032,Shopping,Automotive,Beauty & Spas,Health & Medical,Bar,Other,Mexican,Pizza,Local Services,Sandwiches,Burger,Doctors,Hair Salons,Coffee,Chinese,Education,Auto Repair,Active Life,Breakfast,Indian,Auto Parts & Supplies,Barbers,Grocery,Banks & Credit Unions,Appliances & Repair,Arcades,Accessories,Adult,
2,85050,Beauty & Spas,Bar,Shopping,Health & Medical,Active Life,Pizza,Local Services,Mexican,Burger,Sandwiches,Appliances & Repair,Coffee,Arts & Entertainment,Accessories,Acupuncture,,,,,,,,,,,,,,
3,85016,Bar,Shopping,Home Services,Other,Beauty & Spas,Health & Medical,Mexican,Local Services,Burger,Automotive,Pizza,Real Estate,Doctors,Breakfast,Bakery,Hair Salons,Financial Services,Active Life,Fashion,Event Planning & Services,FastFood,Barbers,Banks & Credit Unions,Auto Repair,Accessories,French,Auto Glass Services,Accountants,Adult Education
4,85020,Automotive,Mexican,Home Services,Shopping,Health & Medical,Bar,Pizza,Beauty & Spas,Burger,Other,Professional Services,Active Life,Doctors,Breakfast,FastFood,Bakery,Italian,Antiques,Appliances & Repair,Accessories,,,,,,,,,
5,85033,Mexican,Pizza,Other,Beauty & Spas,Chinese,Health & Medical,Bar,Ice Cream,Active Life,Accessories,,,,,,,,,,,,,,,,,,,
6,85004,Bar,Other,Coffee,Arts & Entertainment,Breakfast,Pizza,Sandwiches,Home Services,Shopping,Burger,Event Planning & Services,Health & Medical,Local Services,Professional Services,Beauty & Spas,Hotels & Travel,Deli,Active Life,Automotive,Art Galleries,Donuts,Apartments,Accessories,,,,,,
7,85015,Health & Medical,Automotive,Home Services,Beauty & Spas,Chinese,Bar,Auto Repair,Coffee,Burger,Latin Food,Active Life,Apartments,Accessories,,,,,,,,,,,,,,,,
8,85024,Home Services,Automotive,Shopping,Health & Medical,Beauty & Spas,Other,Bar,Financial Services,Active Life,Chinese,Auto Repair,Accessories,,,,,,,,,,,,,,,,,
9,85048,Beauty & Spas,Other,Bar,Doctors,Mexican,Coffee,Local Services,Active Life,Chinese,Chiropractors,Breakfast,Auto Detailing,Accessories,,,,,,,,,,,,,,,,
10,85022,Other,Automotive,Pizza,Bar,Burger,Beauty & Spas,Auto Repair,Real Estate,Breakfast,Active Life,Coffee,Chinese,Auto Parts & Supplies,Banks & Credit Unions,Auto Detailing,Diner,Apartments,Accessories,,,,,,,,,,,
11,85012,Bar,Shopping,Other,Home Services,Mexican,Pizza,Beauty & Spas,Coffee,Arts & Entertainment,FastFood,Active Life,Vegetarian,Accessories,,,,,,,,,,,,,,,,
12,85054,Bar,Other,Automotive,Burger,Coffee,Apartments,Auto Repair,Accessories,,,,,,,,,,,,,,,,,,,,,
13,85027,Home Services,Automotive,Local Services,Other,Auto Repair,Bar,Burger,Contractors,Active Life,Beauty & Spas,FastFood,Apartments,Breakfast,Auto Customization,Arts & Entertainment,Advertising,Accessories,,,,,,,,,,,,
14,85023,Automotive,Home Services,Shopping,Mexican,Other,Bar,Auto Repair,Chinese,Beauty & Spas,Apartments,Auto Glass Services,Auto Customization,Accessories,,,,,,,,,,,,,,,,
15,85003,Bar,Other,Shopping,Beauty & Spas,Coffee,Breakfast,Pizza,Burger,Local Services,Active Life,Arts & Entertainment,Auto Repair,Banks & Credit Unions,Accessories,,,,,,,,,,,,,,,
