,name,Chain,project_category,num_category,business_id,postal_code,hours_avg
0,101 Asian Buffet,0,Chinese,9,UlyCnc4_Suu2DSqYQSwkqQ,85027,11.0
1,1130 The Restaurant,0,Coffee,15,bs07-hLuz0dq06gIUwR5mw,85004,10.857142857142858
2,12 East Cafe,0,Breakfast,3,KZ9v7M1A5t6OMDghR64_5g,85034,7.928571428571429
3,12th Fairway Bar & Grill,0,Other,1,B1jlDEUrVyPgR4vOMnaiKQ,85034,15.5
4,16th Street Sports Bar & Grill,0,Burger,4,fmyo8-JBOu5bjczEsLJyBA,85016,15.571428571428571
5,24th Street Pizza & Gyros,0,Pizza,5,aBmuthrQ7yP8cnbgkxU5Ug,85016,11.142857142857142
6,2601 on Central,0,Bar,2,iBkc2dV-lXeXadYwmnOOIA,85004,12.142857142857142
7,3 Margaritas,0,Mexican,0,s7LncUuPc9yaZ7wDsIALGg,85032,11.285714285714286
8,32 Shea,0,Breakfast,3,qQCsLGMncJp1xWUGnOKCQA,85028,14.571428571428571
9,32nd Cafe,0,Mexican,0,6tR7FLJkwlDspVxsfrMulQ,85008,0.0
10,3on Smith Cafe,0,Breakfast,3,H9tJl_ntsan-YSZElKKK2w,85018,8.0
11,4 Kings North,0,Bar,2,mVE168W1PBHwgZufvXTSIw,85020,0.0
12,40th Street Cafe,0,Diner,10,gQg_z_bqR9Lp9oLuv659YA,85032,9.142857142857142
13,5 & Diner,0,Burger,4,nn4ZkIZTCd7jJhxs-P9tHA,85016,0.0
14,5 & Diner,0,Diner,10,3qZsY2LiLyKwGkOq_hrnzQ,85032,14.214285714285714
15,5 & Diner Deer Valley,0,Other,1,4MZF63-pHMaYe-yNmd4aaQ,85027,16.0
16,50's on Adams,0,Bar,2,hoLFXFgUY_la0o46ULc-DA,85004,0.0
17,613 Grill,0,Other,1,fmnE6VQLBhgIrb6RBuqmjA,85014,7.857142857142857
18,70's Shop & Hookah Lounge,0,Bar,2,_sl9bPjO7j3Lk1Lem8l_5Q,85014,0.0
19,7-Eleven,1,Other,1,10d6PDujQkQmrvQMK6V0xA,85028,0.0
20,7-Eleven,1,Other,1,fDPI6UBxSFX2MC3MmfM-CA,85008,0.0
21,7th Heaven Eatery,0,Other,1,1jasd5ZhHsS8CLGv34YEow,85016,0.0
22,7th St Sports Bar,0,Bar,2,1_QvyrhHsAEowZv7ImU3QA,85020,15.142857142857142
23,8th Day Coffee & Culture,0,Coffee,15,oM6vBO0UEJB_uuOt9D0GSA,85004,0.0
24,99 Degrees Lounge,0,Other,1,i0tjPMOqaFGZe_wtybxzxA,85029,0.0
