,business_id,num_category,is_chain,hours_avg,Unnamed: 0,AcceptsInsurance,ByAppointmentOnly,BusinessAcceptsCreditCards,BusinessParking_garage,BusinessParking_street,BusinessParking_validated,BusinessParking_lot,BusinessParking_valet,HairSpecializesIn_coloring,HairSpecializesIn_africanamerican,HairSpecializesIn_curly,HairSpecializesIn_perms,HairSpecializesIn_kids,HairSpecializesIn_extensions,HairSpecializesIn_asian,HairSpecializesIn_straightperms,RestaurantsPriceRange2,GoodForKids,WheelchairAccessible,BikeParking,Alcohol,HasTV,NoiseLevel,RestaurantsAttire,Music_dj,Music_background_music,Music_no_music,Music_karaoke,Music_live,Music_video,Music_jukebox,Ambience_romantic,Ambience_intimate,Ambience_classy,Ambience_hipster,Ambience_divey,Ambience_touristy,Ambience_trendy,Ambience_upscale,Ambience_casual,RestaurantsGoodForGroups,Caters,WiFi,RestaurantsReservations,RestaurantsTakeOut,HappyHour,GoodForDancing,RestaurantsTableService,OutdoorSeating,RestaurantsDelivery,BestNights_monday,BestNights_tuesday,BestNights_friday,BestNights_wednesday,BestNights_thursday,BestNights_sunday,BestNights_saturday,GoodForMeal_dessert,GoodForMeal_latenight,GoodForMeal_lunch,GoodForMeal_dinner,GoodForMeal_breakfast,GoodForMeal_brunch,CoatCheck,Smoking,DriveThru,DogsAllowed,BusinessAcceptsBitcoin,Open24Hours,BYOBCorkage,BYOB,Corkage,DietaryRestrictions_dairy-free,DietaryRestrictions_gluten-free,DietaryRestrictions_vegan,DietaryRestrictions_kosher,DietaryRestrictions_halal,DietaryRestrictions_soy-free,DietaryRestrictions_vegetarian,AgesAllowed,RestaurantsCounterService,Unnamed: 0.1,monday,tuesday,wednesday,thursday,friday,saturday,sunday,Shortlisted?,ProjectCategory,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
0,UlyCnc4_Suu2DSqYQSwkqQ,9,0,11.0,1349,N/a,N/a,N/a,N/a,0,0,0,1,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1730,11.0,11.0,11.0,11.0,11.0,11.0,11.0,Yes,Chinese,"""101 Asian Buffet""",,"""20440 N 27th Ave""",Phoenix,AZ,85027,33.673322,-112.11792,3.0,33,0,Restaurants;Chinese;Buffets
1,bs07-hLuz0dq06gIUwR5mw,15,0,10.857142857142858,523,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,full_bar,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,107,10.0,11.0,11.0,11.0,11.0,11.0,11.0,Yes,Coffee,"""1130 The Restaurant""",,"""455 N 3rd St, Ste 1130""",Phoenix,AZ,85004,33.4528721912,-112.06854956299999,3.5,204,1,American (Traditional);Steakhouses;American (New);Restaurants
2,KZ9v7M1A5t6OMDghR64_5g,3,0,7.928571428571429,51,N/a,N/a,N/a,N/a,0,0,0,1,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1625,8.0,8.0,8.0,8.0,8.0,8.0,7.5,Yes,Breakfast,"""12 East Cafe""",,"""1153 E Jefferson St""",Phoenix,AZ,85034,33.446778,-112.05671399999999,3.0,8,0,Restaurants;Breakfast & Brunch;American (New)
3,B1jlDEUrVyPgR4vOMnaiKQ,1,0,15.5,114,N/a,N/a,N/a,N/a,0,0,0,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1557,15.5,15.5,15.5,15.5,15.5,15.5,15.5,Yes,Other,"""12th Fairway Bar & Grill""",,"""4000 E Sky Harbor Blvd""",Phoenix,AZ,85034,33.4360502,-111.994973,2.0,22,1,Restaurants;American (Traditional)
4,fmyo8-JBOu5bjczEsLJyBA,4,0,15.571428571428571,480,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2266,15.0,15.0,15.0,15.0,15.0,17.0,17.0,Yes,Burger,"""16th Street Sports Bar & Grill""",,"""6522 N 16th St""",Phoenix,AZ,85016,33.5318417,-112.04798159999999,3.5,48,0,Sports Bars;Bars;Restaurants;Burgers;Nightlife;American (Traditional)
5,aBmuthrQ7yP8cnbgkxU5Ug,5,0,11.142857142857142,74,N/a,N/a,N/a,N/a,0,0,0,1,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1147,0.0,12.0,12.0,12.0,15.0,15.0,12.0,Yes,Pizza,"""24th Street Pizza & Gyros""",,"""3405 N 24th St""",Phoenix,AZ,85016,33.4880275,-112.0299544,3.0,60,1,Italian;Pizza;Restaurants;Greek
6,iBkc2dV-lXeXadYwmnOOIA,2,0,12.142857142857142,179,N/a,N/a,N/a,N/a,0,0,0,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,209,11.0,11.0,11.0,11.0,13.0,15.0,13.0,Yes,Bar,"""2601 on Central""",,"""2601 N Central Ave""",Phoenix,AZ,85004,33.476879,-112.07344099999999,4.0,25,1,Bars;Nightlife;American (Traditional);Restaurants;American (New);Sandwiches;Comfort Food;Cocktail Bars
7,s7LncUuPc9yaZ7wDsIALGg,0,0,11.285714285714286,619,N/a,N/a,N/a,N/a,0,0,0,1,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1351,11.0,11.0,11.0,11.0,12.0,12.0,11.0,Yes,Mexican,"""3 Margaritas""",,"""4717 E Bell Rd""",Phoenix,AZ,85032,33.640232,-111.979545,2.5,8,0,Mexican;Steakhouses;Restaurants
8,qQCsLGMncJp1xWUGnOKCQA,3,0,14.571428571428571,98,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,254,16.0,16.0,16.0,16.0,16.0,15.0,7.0,Yes,Breakfast,"""32 Shea""",,"""10626 N 32nd St""",Phoenix,AZ,85028,33.5834783394,-112.013455939,4.0,597,1,Beer;Wine & Spirits;Bars;Food;Wine Bars;Cafes;Coffee & Tea;Nightlife;Breakfast & Brunch;Restaurants
9,6tR7FLJkwlDspVxsfrMulQ,0,0,0.0,543,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Mexican,"""32nd Cafe""",,"""2822 N 32nd St""",Phoenix,AZ,85008,33.4796343,-112.01338359999998,4.5,11,0,American (New);Mexican;Restaurants;Cafes
